State/Region,Year,Insurance Type,Population,Percentage
Mississippi,2008,Uninsured,99,12.2
Mississippi,2008,Private,407,50
Mississippi,2008,Employer-based,342,42
Mississippi,2008,Direct-purchase,70,8.6
Mississippi,2008,TRICARE,21,2.6
Mississippi,2008,Public,338,41.5
Mississippi,2008,Medicaid,334,41
Mississippi,2008,Medicare,7,0.8
Mississippi,2008,VA Care,1,0.1
Missouri,2022,Total,1442,100
Missouri,2022,Any Coverage,1358,94.2
Missouri,2022,Uninsured,83,5.8
Missouri,2022,Private,911,63.2
Missouri,2022,Employer-based,792,54.9
Missouri,2022,Direct-purchase,112,7.7
Missouri,2022,TRICARE,39,2.7
Missouri,2022,Public,510,35.4
Missouri,2022,Medicaid,503,34.9
Missouri,2022,Medicare,9,0.6
Missouri,2022,VA Care,2,0.2
Missouri,2021,Total,1462,100
Missouri,2021,Any Coverage,1377,94.1
Missouri,2021,Uninsured,86,5.9
Missouri,2021,Private,958,65.5
Missouri,2021,Employer-based,834,57
Missouri,2021,Direct-purchase,129,8.9
Missouri,2021,TRICARE,35,2.4
Missouri,2021,Public,492,33.7
Missouri,2021,Medicaid,487,33.3
Missouri,2021,Medicare,9,0.6
Missouri,2021,VA Care,2,0.2
Missouri,2019,Total,1447,100
Missouri,2019,Any Coverage,1352,93.5
Missouri,2019,Uninsured,95,6.5
Missouri,2019,Private,925,64
Missouri,2019,Employer-based,813,56.2
Missouri,2019,Direct-purchase,105,7.3
Missouri,2019,TRICARE,31,2.1
Missouri,2019,Public,472,32.7
Missouri,2019,Medicaid,466,32.2
Missouri,2019,Medicare,8,0.6
Missouri,2019,VA Care,2,0.1
Missouri,2018,Total,1453,100
Missouri,2018,Any Coverage,1371,94.3
Missouri,2018,Uninsured,83,5.7
Missouri,2018,Private,933,64.2
Missouri,2018,Employer-based,828,57
Missouri,2018,Direct-purchase,99,6.8
Missouri,2018,TRICARE,29,2
Missouri,2018,Public,498,34.2
Missouri,2018,Medicaid,489,33.6
Missouri,2018,Medicare,14,1
Missouri,2018,VA Care,3,0.2
Missouri,2017,Total,1465,100
Missouri,2017,Any Coverage,1390,94.9
Missouri,2017,Uninsured,75,5.1
Missouri,2017,Private,940,64.1
Missouri,2017,Employer-based,816,55.7
Missouri,2017,Direct-purchase,115,7.9
Missouri,2017,TRICARE,31,2.1
Missouri,2017,Public,500,34.1
Missouri,2017,Medicaid,491,33.5
Missouri,2017,Medicare,12,0.8
Missouri,2017,VA Care,2,0.2
Missouri,2016,Total,1476,100
Missouri,2016,Any Coverage,1405,95.2
Missouri,2016,Uninsured,71,4.8
Missouri,2016,Private,962,65.2
Missouri,2016,Employer-based,830,56.2
Missouri,2016,Direct-purchase,124,8.4
Missouri,2016,TRICARE,30,2
Missouri,2016,Public,483,32.7
Missouri,2016,Medicaid,476,32.2
Missouri,2016,Medicare,9,0.6
Missouri,2016,VA Care,2,0.1
Missouri,2015,Total,1473,100
Missouri,2015,Any Coverage,1384,94
Missouri,2015,Uninsured,89,6
Missouri,2015,Private,952,64.6
Missouri,2015,Employer-based,812,55.1
Missouri,2015,Direct-purchase,130,8.8
Missouri,2015,TRICARE,31,2.1
Missouri,2015,Public,482,32.7
Missouri,2015,Medicaid,477,32.4
Missouri,2015,Medicare,8,0.5
Missouri,2015,VA Care,1,0.1
Missouri,2014,Total,1469,100
Missouri,2014,Any Coverage,1360,92.6
Missouri,2014,Uninsured,109,7.4
Missouri,2014,Private,937,63.8
Missouri,2014,Employer-based,808,55
Missouri,2014,Direct-purchase,116,7.9
Missouri,2014,TRICARE,34,2.3
Missouri,2014,Public,462,31.5
Missouri,2014,Medicaid,457,31.1
Missouri,2014,Medicare,8,0.6
Missouri,2014,VA Care,1,0.1
Missouri,2013,Total,1475,100
Missouri,2013,Any Coverage,1369,92.9
Missouri,2013,Uninsured,105,7.1
Missouri,2013,Private,932,63.2
Missouri,2013,Employer-based,808,54.8
Missouri,2013,Direct-purchase,112,7.6
Missouri,2013,TRICARE,35,2.4
Missouri,2013,Public,487,33
Missouri,2013,Medicaid,482,32.7
Missouri,2013,Medicare,6,0.4
Missouri,2013,VA Care,3,0.2
Missouri,2012,Total,1482,100
Missouri,2012,Any Coverage,1373,92.6
Missouri,2012,Uninsured,109,7.4
Missouri,2012,Private,912,61.6
Missouri,2012,Employer-based,795,53.7
Missouri,2012,Direct-purchase,116,7.8
Missouri,2012,TRICARE,32,2.2
Missouri,2012,Public,503,34
Missouri,2012,Medicaid,498,33.6
Missouri,2012,Medicare,8,0.6
Missouri,2012,VA Care,1,
Missouri,2011,Total,1492,100
Missouri,2011,Any Coverage,1385,92.8
Missouri,2011,Uninsured,107,7.2
Missouri,2011,Private,944,63.2
Missouri,2011,Employer-based,825,55.3
Missouri,2011,Direct-purchase,122,8.2
Missouri,2011,TRICARE,31,2.1
Missouri,2011,Public,485,32.5
Missouri,2011,Medicaid,478,32.1
Missouri,2011,Medicare,8,0.6
Missouri,2011,VA Care,2,0.1
Missouri,2010,Total,1502,100
Missouri,2010,Any Coverage,1403,93.4
Missouri,2010,Uninsured,99,6.6
Missouri,2010,Private,961,64
Missouri,2010,Employer-based,828,55.1
Missouri,2010,Direct-purchase,131,8.7
Missouri,2010,TRICARE,34,2.2
Missouri,2010,Public,487,32.4
Missouri,2010,Medicaid,483,32.2
Missouri,2010,Medicare,5,0.4
Missouri,2010,VA Care,1,0.1
Missouri,2009,Total,1515,100
Missouri,2009,Any Coverage,1404,92.7
Missouri,2009,Uninsured,111,7.3
Missouri,2009,Private,981,64.7
Missouri,2009,Employer-based,860,56.7
Missouri,2009,Direct-purchase,127,8.4
Missouri,2009,TRICARE,33,2.1
Missouri,2009,Public,469,31
Missouri,2009,Medicaid,463,30.5
Missouri,2009,Medicare,11,0.7
Missouri,2009,VA Care,1,0.1
Missouri,2008,Total,1500,100
Missouri,2008,Any Coverage,1392,92.8
Missouri,2008,Uninsured,108,7.2
Missouri,2008,Private,1005,67
Missouri,2008,Employer-based,885,59
Missouri,2008,Direct-purchase,135,9
Missouri,2008,TRICARE,30,2
Missouri,2008,Public,441,29.4
Missouri,2008,Medicaid,438,29.2
Missouri,2008,Medicare,7,0.5
Missouri,2008,VA Care,2,0.1
Montana,2022,Total,249,100
Montana,2022,Any Coverage,232,93.1
Montana,2022,Uninsured,17,6.9
Montana,2022,Private,146,58.5
Montana,2022,Employer-based,119,47.8
Montana,2022,Direct-purchase,23,9.4
Montana,2022,TRICARE,9,3.6
Montana,2022,Public,96,38.4
Montana,2022,Medicaid,95,38.2
Montana,2022,Medicare,1,0.5
Montana,2022,VA Care,1,0.3
Montana,2021,Total,248,100
Montana,2021,Any Coverage,231,93
Montana,2021,Uninsured,17,7
Montana,2021,Private,150,60.3
Montana,2021,Employer-based,125,50.3
Montana,2021,Direct-purchase,21,8.4
Montana,2021,TRICARE,11,4.4
Montana,2021,Public,94,37.7
Montana,2021,Medicaid,93,37.3
Montana,2021,Medicare,2,0.8
Montana,2021,VA Care,,0.1
Montana,2019,Total,242,100
Montana,2019,Any Coverage,227,93.8
Montana,2019,Uninsured,15,6.2
Montana,2019,Private,139,57.4
Montana,2019,Employer-based,115,47.7
Montana,2019,Direct-purchase,23,9.4
Montana,2019,TRICARE,9,3.7
Montana,2019,Public,102,42
Montana,2019,Medicaid,101,41.8
Montana,2019,Medicare,1,0.3
Montana,2019,VA Care,,0.1
Montana,2018,Total,244,100
Montana,2018,Any Coverage,229,93.9
Montana,2018,Uninsured,15,6.1
Montana,2018,Private,136,55.5
Montana,2018,Employer-based,112,46.1
Montana,2018,Direct-purchase,17,6.8
Montana,2018,TRICARE,10,4.3
Montana,2018,Public,105,43.1
Montana,2018,Medicaid,105,42.9
Montana,2018,Medicare,1,0.2
Montana,2018,VA Care,,
Montana,2017,Total,241,100
Montana,2017,Any Coverage,227,94.2
Montana,2017,Uninsured,14,5.8
Montana,2017,Private,137,56.7
Montana,2017,Employer-based,108,44.7
Montana,2017,Direct-purchase,25,10.3
Montana,2017,TRICARE,7,3.1
Montana,2017,Public,100,41.3
Montana,2017,Medicaid,99,41
Montana,2017,Medicare,1,0.4
Montana,2017,VA Care,1,0.3
Montana,2016,Total,242,100
Montana,2016,Any Coverage,230,95.1
Montana,2016,Uninsured,12,4.9
Montana,2016,Private,144,59.5
Montana,2016,Employer-based,118,48.8
Montana,2016,Direct-purchase,21,8.8
Montana,2016,TRICARE,8,3.4
Montana,2016,Public,96,39.6
Montana,2016,Medicaid,95,39.3
Montana,2016,Medicare,1,0.4
Montana,2016,VA Care,1,0.2
Montana,2015,Total,241,100
Montana,2015,Any Coverage,222,92.1
Montana,2015,Uninsured,19,7.9
Montana,2015,Private,147,60.9
Montana,2015,Employer-based,118,48.8
Montana,2015,Direct-purchase,26,10.7
Montana,2015,TRICARE,8,3.2
Montana,2015,Public,84,35.1
Montana,2015,Medicaid,84,34.7
Montana,2015,Medicare,1,0.6
Montana,2015,VA Care,,0.1
Montana,2014,Total,239,100
Montana,2014,Any Coverage,219,91.6
Montana,2014,Uninsured,20,8.4
Montana,2014,Private,138,57.9
Montana,2014,Employer-based,115,48.1
Montana,2014,Direct-purchase,23,9.4
Montana,2014,TRICARE,6,2.5
Montana,2014,Public,87,36.3
Montana,2014,Medicaid,87,36.2
Montana,2014,Medicare,1,0.4
Montana,2014,VA Care,,
Montana,2013,Total,239,100
Montana,2013,Any Coverage,213,89.4
Montana,2013,Uninsured,25,10.6
Montana,2013,Private,135,56.5
Montana,2013,Employer-based,110,46.1
Montana,2013,Direct-purchase,22,9.3
Montana,2013,TRICARE,8,3.2
Montana,2013,Public,88,36.9
Montana,2013,Medicaid,87,36.3
Montana,2013,Medicare,1,0.5
Montana,2013,VA Care,,0.2
Montana,2012,Total,233,100
Montana,2012,Any Coverage,206,88.6
Montana,2012,Uninsured,27,11.4
Montana,2012,Private,127,54.5
Montana,2012,Employer-based,105,44.9
Montana,2012,Direct-purchase,24,10.2
Montana,2012,TRICARE,5,2.2
Montana,2012,Public,87,37.3
Montana,2012,Medicaid,86,36.8
Montana,2012,Medicare,1,0.5
Montana,2012,VA Care,,0.2
Montana,2011,Total,236,100
Montana,2011,Any Coverage,208,88.3
Montana,2011,Uninsured,28,11.7
Montana,2011,Private,141,59.8
Montana,2011,Employer-based,118,50.2
Montana,2011,Direct-purchase,25,10.7
Montana,2011,TRICARE,6,2.6
Montana,2011,Public,76,32.2
Montana,2011,Medicaid,75,32
Montana,2011,Medicare,1,0.5
Montana,2011,VA Care,1,0.3
Montana,2010,Total,238,100
Montana,2010,Any Coverage,208,87.4
Montana,2010,Uninsured,30,12.6
Montana,2010,Private,147,61.6
Montana,2010,Employer-based,119,50.1
Montana,2010,Direct-purchase,26,10.8
Montana,2010,TRICARE,9,3.9
Montana,2010,Public,71,30
Montana,2010,Medicaid,71,29.7
Montana,2010,Medicare,1,0.3
Montana,2010,VA Care,,0.1
Montana,2009,Total,238,100
Montana,2009,Any Coverage,206,86.9
Montana,2009,Uninsured,31,13.1
Montana,2009,Private,147,61.7
Montana,2009,Employer-based,120,50.4
Montana,2009,Direct-purchase,26,11
Montana,2009,TRICARE,10,4.1
Montana,2009,Public,66,28
Montana,2009,Medicaid,65,27.4
Montana,2009,Medicare,2,0.7
Montana,2009,VA Care,1,0.3
Montana,2008,Total,238,100
Montana,2008,Any Coverage,205,86.2
Montana,2008,Uninsured,33,13.8
Montana,2008,Private,157,65.7
Montana,2008,Employer-based,129,54.2
Montana,2008,Direct-purchase,28,11.8
Montana,2008,TRICARE,9,4
Montana,2008,Public,56,23.4
Montana,2008,Medicaid,55,22.9
Montana,2008,Medicare,1,0.4
Montana,2008,VA Care,,0.1
Nebraska,2022,Total,505,100
Nebraska,2022,Any Coverage,482,95.4
Nebraska,2022,Uninsured,23,4.6
Nebraska,2022,Private,352,69.8
Nebraska,2022,Employer-based,299,59.2
Nebraska,2022,Direct-purchase,52,10.2
Nebraska,2022,TRICARE,16,3.2
Nebraska,2022,Public,155,30.7
Nebraska,2022,Medicaid,154,30.6
Nebraska,2022,Medicare,1,0.2
Nebraska,2022,VA Care,,
Nebraska,2021,Total,509,100
Nebraska,2021,Any Coverage,485,95.3
Nebraska,2021,Uninsured,24,4.7
Nebraska,2021,Private,362,71
Nebraska,2021,Employer-based,317,62.3
Nebraska,2021,Direct-purchase,49,9.5
Nebraska,2021,TRICARE,14,2.7
Nebraska,2021,Public,146,28.7
Nebraska,2021,Medicaid,144,28.3
Nebraska,2021,Medicare,3,0.5
Nebraska,2021,VA Care,1,0.2
Nebraska,2019,Total,502,100
Nebraska,2019,Any Coverage,474,94.3
Nebraska,2019,Uninsured,28,5.7
Nebraska,2019,Private,351,69.9
Nebraska,2019,Employer-based,308,61.3
Nebraska,2019,Direct-purchase,46,9.1
Nebraska,2019,TRICARE,13,2.6
Nebraska,2019,Public,138,27.4
Nebraska,2019,Medicaid,136,27.1
Nebraska,2019,Medicare,2,0.4
Nebraska,2019,VA Care,1,0.1
Nebraska,2018,Total,501,100
Nebraska,2018,Any Coverage,475,94.8
Nebraska,2018,Uninsured,26,5.2
Nebraska,2018,Private,349,69.6
Nebraska,2018,Employer-based,304,60.6
Nebraska,2018,Direct-purchase,39,7.7
Nebraska,2018,TRICARE,17,3.5
Nebraska,2018,Public,145,28.9
Nebraska,2018,Medicaid,144,28.6
Nebraska,2018,Medicare,1,0.2
Nebraska,2018,VA Care,1,0.2
Nebraska,2017,Total,500,100
Nebraska,2017,Any Coverage,474,94.9
Nebraska,2017,Uninsured,26,5.1
Nebraska,2017,Private,348,69.6
Nebraska,2017,Employer-based,303,60.6
Nebraska,2017,Direct-purchase,43,8.5
Nebraska,2017,TRICARE,17,3.4
Nebraska,2017,Public,143,28.6
Nebraska,2017,Medicaid,142,28.3
Nebraska,2017,Medicare,2,0.3
Nebraska,2017,VA Care,,0.1
Nebraska,2016,Total,498,100
Nebraska,2016,Any Coverage,472,94.9
Nebraska,2016,Uninsured,25,5.1
Nebraska,2016,Private,344,69.1
Nebraska,2016,Employer-based,294,59.1
Nebraska,2016,Direct-purchase,50,10
Nebraska,2016,TRICARE,14,2.7
Nebraska,2016,Public,142,28.5
Nebraska,2016,Medicaid,140,28.2
Nebraska,2016,Medicare,2,0.4
Nebraska,2016,VA Care,1,0.2
Nebraska,2015,Total,498,100
Nebraska,2015,Any Coverage,471,94.5
Nebraska,2015,Uninsured,27,5.5
Nebraska,2015,Private,348,69.8
Nebraska,2015,Employer-based,292,58.6
Nebraska,2015,Direct-purchase,54,10.8
Nebraska,2015,TRICARE,15,2.9
Nebraska,2015,Public,141,28.3
Nebraska,2015,Medicaid,139,27.8
Nebraska,2015,Medicare,3,0.5
Nebraska,2015,VA Care,1,0.1
Nebraska,2014,Total,494,100
Nebraska,2014,Any Coverage,467,94.5
Nebraska,2014,Uninsured,27,5.5
Nebraska,2014,Private,341,68.9
Nebraska,2014,Employer-based,285,57.7
Nebraska,2014,Direct-purchase,51,10.3
Nebraska,2014,TRICARE,15,3
Nebraska,2014,Public,144,29.2
Nebraska,2014,Medicaid,143,29
Nebraska,2014,Medicare,1,0.3
Nebraska,2014,VA Care,1,0.1
Nebraska,2013,Total,491,100
Nebraska,2013,Any Coverage,463,94.3
Nebraska,2013,Uninsured,28,5.7
Nebraska,2013,Private,335,68.2
Nebraska,2013,Employer-based,286,58.2
Nebraska,2013,Direct-purchase,46,9.4
Nebraska,2013,TRICARE,15,3
Nebraska,2013,Public,145,29.4
Nebraska,2013,Medicaid,143,29
Nebraska,2013,Medicare,3,0.5
Nebraska,2013,VA Care,,
Nebraska,2012,Total,491,100
Nebraska,2012,Any Coverage,459,93.4
Nebraska,2012,Uninsured,32,6.6
Nebraska,2012,Private,332,67.5
Nebraska,2012,Employer-based,282,57.4
Nebraska,2012,Direct-purchase,47,9.5
Nebraska,2012,TRICARE,16,3.2
Nebraska,2012,Public,141,28.7
Nebraska,2012,Medicaid,140,28.4
Nebraska,2012,Medicare,2,0.4
Nebraska,2012,VA Care,1,0.2
Nebraska,2011,Total,489,100
Nebraska,2011,Any Coverage,460,94.1
Nebraska,2011,Uninsured,29,5.9
Nebraska,2011,Private,334,68.2
Nebraska,2011,Employer-based,286,58.5
Nebraska,2011,Direct-purchase,45,9.1
Nebraska,2011,TRICARE,15,3.1
Nebraska,2011,Public,142,29
Nebraska,2011,Medicaid,140,28.7
Nebraska,2011,Medicare,2,0.4
Nebraska,2011,VA Care,1,0.2
Nebraska,2010,Total,488,100
Nebraska,2010,Any Coverage,459,94.1
Nebraska,2010,Uninsured,29,5.9
Nebraska,2010,Private,335,68.8
Nebraska,2010,Employer-based,286,58.6
Nebraska,2010,Direct-purchase,48,9.9
Nebraska,2010,TRICARE,14,2.8
Nebraska,2010,Public,144,29.5
Nebraska,2010,Medicaid,143,29.2
Nebraska,2010,Medicare,1,0.3
Nebraska,2010,VA Care,1,0.1
Nebraska,2009,Total,473,100
Nebraska,2009,Any Coverage,442,93.4
Nebraska,2009,Uninsured,31,6.6
Nebraska,2009,Private,330,69.7
Nebraska,2009,Employer-based,285,60.3
Nebraska,2009,Direct-purchase,45,9.5
Nebraska,2009,TRICARE,12,2.6
Nebraska,2009,Public,126,26.6
Nebraska,2009,Medicaid,124,26.2
Nebraska,2009,Medicare,1,0.3
Nebraska,2009,VA Care,1,0.1
Nebraska,2008,Total,474,100
Nebraska,2008,Any Coverage,440,92.8
Nebraska,2008,Uninsured,34,7.2
Nebraska,2008,Private,351,74
Nebraska,2008,Employer-based,303,63.8
Nebraska,2008,Direct-purchase,53,11.1
Nebraska,2008,TRICARE,16,3.4
Nebraska,2008,Public,105,22.1
Nebraska,2008,Medicaid,103,21.8
Nebraska,2008,Medicare,2,0.5
Nebraska,2008,VA Care,1,0.1
Nevada,2022,Total,725,100
Nevada,2022,Any Coverage,670,92.4
Nevada,2022,Uninsured,55,7.6
Nevada,2022,Private,434,59.8
Nevada,2022,Employer-based,372,51.3
Nevada,2022,Direct-purchase,54,7.4
Nevada,2022,TRICARE,27,3.7
Nevada,2022,Public,276,38
Nevada,2022,Medicaid,274,37.7
Nevada,2022,Medicare,2,0.3
Nevada,2022,VA Care,1,0.2
Nevada,2021,Total,732,100
Nevada,2021,Any Coverage,669,91.4
Nevada,2021,Uninsured,63,8.6
Nevada,2021,Private,426,58.2
Nevada,2021,Employer-based,365,49.9
Nevada,2021,Direct-purchase,59,8.1
Nevada,2021,TRICARE,22,3
Nevada,2021,Public,282,38.6
Nevada,2021,Medicaid,278,38
Nevada,2021,Medicare,4,0.6
Nevada,2021,VA Care,3,0.4
Nevada,2019,Total,725,100
Nevada,2019,Any Coverage,667,92
Nevada,2019,Uninsured,58,8
Nevada,2019,Private,448,61.8
Nevada,2019,Employer-based,390,53.8
Nevada,2019,Direct-purchase,51,7
Nevada,2019,TRICARE,20,2.7
Nevada,2019,Public,239,33
Nevada,2019,Medicaid,238,32.8
Nevada,2019,Medicare,2,0.3
Nevada,2019,VA Care,,0.1
Nevada,2018,Total,722,100
Nevada,2018,Any Coverage,664,92
Nevada,2018,Uninsured,58,8
Nevada,2018,Private,432,59.9
Nevada,2018,Employer-based,375,51.9
Nevada,2018,Direct-purchase,51,7.1
Nevada,2018,TRICARE,20,2.7
Nevada,2018,Public,261,36.2
Nevada,2018,Medicaid,259,35.8
Nevada,2018,Medicare,3,0.5
Nevada,2018,VA Care,1,0.1
Nevada,2017,Total,719,100
Nevada,2017,Any Coverage,661,92
Nevada,2017,Uninsured,58,8
Nevada,2017,Private,435,60.4
Nevada,2017,Employer-based,382,53.2
Nevada,2017,Direct-purchase,47,6.5
Nevada,2017,TRICARE,18,2.5
Nevada,2017,Public,254,35.3
Nevada,2017,Medicaid,251,34.9
Nevada,2017,Medicare,4,0.6
Nevada,2017,VA Care,2,0.3
Nevada,2016,Total,712,100
Nevada,2016,Any Coverage,662,93
Nevada,2016,Uninsured,50,7
Nevada,2016,Private,426,59.8
Nevada,2016,Employer-based,368,51.7
Nevada,2016,Direct-purchase,52,7.3
Nevada,2016,TRICARE,19,2.6
Nevada,2016,Public,261,36.7
Nevada,2016,Medicaid,260,36.5
Nevada,2016,Medicare,3,0.4
Nevada,2016,VA Care,1,0.1
Nevada,2015,Total,700,100
Nevada,2015,Any Coverage,645,92.1
Nevada,2015,Uninsured,56,7.9
Nevada,2015,Private,421,60.1
Nevada,2015,Employer-based,366,52.3
Nevada,2015,Direct-purchase,47,6.8
Nevada,2015,TRICARE,19,2.7
Nevada,2015,Public,249,35.5
Nevada,2015,Medicaid,243,34.7
Nevada,2015,Medicare,7,1
Nevada,2015,VA Care,1,0.2
Nevada,2014,Total,698,100
Nevada,2014,Any Coverage,628,90
Nevada,2014,Uninsured,70,10
Nevada,2014,Private,423,60.6
Nevada,2014,Employer-based,374,53.5
Nevada,2014,Direct-purchase,48,6.8
Nevada,2014,TRICARE,18,2.6
Nevada,2014,Public,232,33.2
Nevada,2014,Medicaid,229,32.7
Nevada,2014,Medicare,4,0.6
Nevada,2014,VA Care,1,0.1
Nevada,2013,Total,697,100
Nevada,2013,Any Coverage,591,84.7
Nevada,2013,Uninsured,106,15.3
Nevada,2013,Private,418,59.9
Nevada,2013,Employer-based,375,53.8
Nevada,2013,Direct-purchase,39,5.6
Nevada,2013,TRICARE,19,2.7
Nevada,2013,Public,194,27.8
Nevada,2013,Medicaid,191,27.4
Nevada,2013,Medicare,2,0.4
Nevada,2013,VA Care,1,0.1
Nevada,2012,Total,697,100
Nevada,2012,Any Coverage,578,82.9
Nevada,2012,Uninsured,119,17.1
Nevada,2012,Private,405,58.1
Nevada,2012,Employer-based,354,50.8
Nevada,2012,Direct-purchase,57,8.2
Nevada,2012,TRICARE,16,2.3
Nevada,2012,Public,199,28.5
Nevada,2012,Medicaid,196,28.1
Nevada,2012,Medicare,4,0.5
Nevada,2012,VA Care,1,0.1
Nevada,2011,Total,698,100
Nevada,2011,Any Coverage,581,83.3
Nevada,2011,Uninsured,117,16.7
Nevada,2011,Private,434,62.1
Nevada,2011,Employer-based,390,55.8
Nevada,2011,Direct-purchase,45,6.5
Nevada,2011,TRICARE,17,2.4
Nevada,2011,Public,174,25
Nevada,2011,Medicaid,171,24.5
Nevada,2011,Medicare,4,0.6
Nevada,2011,VA Care,1,0.2
Nevada,2010,Total,702,100
Nevada,2010,Any Coverage,576,82
Nevada,2010,Uninsured,126,18
Nevada,2010,Private,431,61.3
Nevada,2010,Employer-based,377,53.7
Nevada,2010,Direct-purchase,64,9.1
Nevada,2010,TRICARE,17,2.4
Nevada,2010,Public,166,23.7
Nevada,2010,Medicaid,163,23.2
Nevada,2010,Medicare,4,0.6
Nevada,2010,VA Care,1,0.1
Nevada,2009,Total,717,100
Nevada,2009,Any Coverage,585,81.6
Nevada,2009,Uninsured,132,18.4
Nevada,2009,Private,467,65.2
Nevada,2009,Employer-based,408,56.9
Nevada,2009,Direct-purchase,78,10.9
Nevada,2009,TRICARE,20,2.8
Nevada,2009,Public,141,19.6
Nevada,2009,Medicaid,137,19.2
Nevada,2009,Medicare,5,0.7
Nevada,2009,VA Care,1,0.2
Nevada,2008,Total,701,100
Nevada,2008,Any Coverage,561,80
Nevada,2008,Uninsured,140,20
Nevada,2008,Private,470,67
Nevada,2008,Employer-based,423,60.3
Nevada,2008,Direct-purchase,76,10.9
Nevada,2008,TRICARE,17,2.4
Nevada,2008,Public,115,16.4
Nevada,2008,Medicaid,111,15.9
Nevada,2008,Medicare,4,0.6
Nevada,2008,VA Care,1,0.1
New Hampshire,2022,Total,269,100
New Hampshire,2022,Any Coverage,260,96.6
New Hampshire,2022,Uninsured,9,3.4
New Hampshire,2022,Private,195,72.7
New Hampshire,2022,Employer-based,176,65.3
New Hampshire,2022,Direct-purchase,19,6.9
New Hampshire,2022,TRICARE,6,2.1
New Hampshire,2022,Public,73,27
New Hampshire,2022,Medicaid,72,26.6
New Hampshire,2022,Medicare,1,0.6
New Hampshire,2022,VA Care,,
New Hampshire,2021,Total,273,100
New Hampshire,2021,Any Coverage,263,96
New Hampshire,2021,Uninsured,11,4
New Hampshire,2021,Private,198,72.4
New Hampshire,2021,Employer-based,182,66.6
New Hampshire,2021,Direct-purchase,16,5.7
New Hampshire,2021,TRICARE,5,1.9
New Hampshire,2021,Public,77,28.1
New Hampshire,2021,Medicaid,76,27.9
New Hampshire,2021,Medicare,1,0.4
New Hampshire,2021,VA Care,,0.1
New Hampshire,2019,Total,277,100
New Hampshire,2019,Any Coverage,267,96.3
New Hampshire,2019,Uninsured,10,3.7
New Hampshire,2019,Private,196,70.9
New Hampshire,2019,Employer-based,179,64.5
New Hampshire,2019,Direct-purchase,15,5.5
New Hampshire,2019,TRICARE,5,1.7
New Hampshire,2019,Public,79,28.4
New Hampshire,2019,Medicaid,78,28.1
New Hampshire,2019,Medicare,1,0.4
New Hampshire,2019,VA Care,,
New Hampshire,2018,Total,280,100
New Hampshire,2018,Any Coverage,273,97.4
New Hampshire,2018,Uninsured,7,2.6
New Hampshire,2018,Private,200,71.4
New Hampshire,2018,Employer-based,185,66
New Hampshire,2018,Direct-purchase,15,5.5
New Hampshire,2018,TRICARE,3,1.2
New Hampshire,2018,Public,82,29.3
New Hampshire,2018,Medicaid,82,29.1
New Hampshire,2018,Medicare,1,0.4
New Hampshire,2018,VA Care,,
New Hampshire,2017,Total,276,100
New Hampshire,2017,Any Coverage,270,97.7
New Hampshire,2017,Uninsured,6,2.3
New Hampshire,2017,Private,194,70.2
New Hampshire,2017,Employer-based,176,63.6
New Hampshire,2017,Direct-purchase,17,6.1
New Hampshire,2017,TRICARE,3,1.3
New Hampshire,2017,Public,85,30.9
New Hampshire,2017,Medicaid,85,30.6
New Hampshire,2017,Medicare,1,0.5
New Hampshire,2017,VA Care,,0.1
New Hampshire,2016,Total,279,100
New Hampshire,2016,Any Coverage,272,97.3
New Hampshire,2016,Uninsured,8,2.7
New Hampshire,2016,Private,200,71.5
New Hampshire,2016,Employer-based,185,66.2
New Hampshire,2016,Direct-purchase,16,5.6
New Hampshire,2016,TRICARE,3,1.2
New Hampshire,2016,Public,81,28.9
New Hampshire,2016,Medicaid,80,28.5
New Hampshire,2016,Medicare,1,0.5
New Hampshire,2016,VA Care,1,0.2
New Hampshire,2015,Total,286,100
New Hampshire,2015,Any Coverage,278,97.2
New Hampshire,2015,Uninsured,8,2.8
New Hampshire,2015,Private,205,71.9
New Hampshire,2015,Employer-based,188,65.8
New Hampshire,2015,Direct-purchase,19,6.7
New Hampshire,2015,TRICARE,4,1.5
New Hampshire,2015,Public,80,27.9
New Hampshire,2015,Medicaid,80,27.9
New Hampshire,2015,Medicare,1,0.3
New Hampshire,2015,VA Care,,
New Hampshire,2014,Total,289,100
New Hampshire,2014,Any Coverage,276,95.4
New Hampshire,2014,Uninsured,13,4.6
New Hampshire,2014,Private,203,70.2
New Hampshire,2014,Employer-based,184,63.8
New Hampshire,2014,Direct-purchase,16,5.7
New Hampshire,2014,TRICARE,5,1.7
New Hampshire,2014,Public,79,27.4
New Hampshire,2014,Medicaid,78,27
New Hampshire,2014,Medicare,2,0.6
New Hampshire,2014,VA Care,,
New Hampshire,2013,Total,290,100
New Hampshire,2013,Any Coverage,279,96
New Hampshire,2013,Uninsured,12,4
New Hampshire,2013,Private,204,70.3
New Hampshire,2013,Employer-based,187,64.5
New Hampshire,2013,Direct-purchase,16,5.4
New Hampshire,2013,TRICARE,4,1.4
New Hampshire,2013,Public,84,28.8
New Hampshire,2013,Medicaid,83,28.7
New Hampshire,2013,Medicare,1,0.3
New Hampshire,2013,VA Care,,
New Hampshire,2012,Total,293,100
New Hampshire,2012,Any Coverage,281,95.8
New Hampshire,2012,Uninsured,12,4.2
New Hampshire,2012,Private,206,70.1
New Hampshire,2012,Employer-based,188,64.1
